iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
197,10,"[0.15104167 0.07291667 0.31770833 0.0625     0.04166667 0.08333333
 0.13541667 0.13541667]","[1, 0, 1, 0, 0, 0, 1, 1]",4,0.30403645833333337
198,10,"[0.08854167 0.03645833 0.26041667 0.05729167 0.05208333 0.0625
 0.18229167 0.26041667]","[0, 0, 1, 0, 0, 0, 1, 1]",3,0.4091796875
199,10,"[0.13020833 0.04166667 0.25520833 0.05208333 0.09375    0.02604167
 0.15625    0.24479167]","[1, 0, 1, 0, 0, 0, 1, 1]",4,0.455078125
200,10,"[0.08854167 0.02083333 0.32291667 0.03125    0.08333333 0.08854167
 0.15625    0.20833333]","[0, 0, 1, 0, 0, 0, 1, 1]",3,0.4241536458333333
201,10,"[0.18229167 0.04166667 0.21875    0.0625     0.09895833 0.125
 0.140625   0.13020833]","[1, 0, 1, 0, 0, 0, 1, 1]",4,0.40690104166666674
202,10,"[0.328125   0.05729167 0.10416667 0.00520833 0.078125   0.3125
 0.07291667 0.04166667]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.46875000000000006
203,10,"[0.34895833 0.05208333 0.09375    0.00520833 0.03645833 0.34895833
 0.05729167 0.05729167]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.5166015625
204,10,"[0.28125    0.078125   0.08333333 0.05208333 0.109375   0.22395833
 0.11458333 0.05729167]","[1, 0, 0, 0, 0, 1, 0, 0]",2,0.46712239583333337
205,10,"[0.27083333 0.05208333 0.140625   0.03125    0.14583333 0.22395833
 0.11458333 0.02083333]","[1, 0, 1, 0, 1, 1, 0, 0]",4,0.41406249999999994
206,10,"[0.234375   0.05208333 0.11458333 0.06770833 0.20833333 0.203125
 0.09895833 0.02083333]","[1, 0, 0, 0, 1, 1, 0, 0]",3,0.44238281250000006
207,10,"[0.21354167 0.078125   0.11979167 0.05208333 0.109375   0.19270833
 0.21875    0.015625  ]","[1, 0, 0, 0, 0, 1, 1, 0]",3,0.2985026041666667
208,10,"[0.19270833 0.08854167 0.05208333 0.078125   0.24479167 0.09375
 0.22395833 0.02604167]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.361328125
209,10,"[0.13541667 0.09895833 0.05208333 0.05729167 0.203125   0.078125
 0.33333333 0.04166667]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.41080729166666663
210,10,"[0.15625    0.09895833 0.03645833 0.09895833 0.25       0.078125
 0.27083333 0.01041667]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.3707682291666667
211,10,"[0.06770833 0.0625     0.109375   0.06770833 0.30208333 0.05208333
 0.30208333 0.03645833]","[0, 0, 0, 0, 1, 0, 1, 0]",2,0.39127604166666663
212,10,"[0.27083333 0.06770833 0.14583333 0.09375    0.24479167 0.01041667
 0.09895833 0.06770833]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.32291666666666663
213,10,"[0.30208333 0.02083333 0.20833333 0.05208333 0.1875     0.04166667
 0.09895833 0.08854167]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.2972005208333333
214,10,"[0.203125   0.03645833 0.21354167 0.13541667 0.125      0.015625
 0.06770833 0.203125  ]","[1, 0, 1, 1, 0, 0, 0, 1]",4,0.47200520833333337
215,10,"[0.08854167 0.0625     0.26041667 0.08333333 0.13541667 0.0625
 0.02604167 0.28125   ]","[0, 0, 1, 0, 1, 0, 0, 1]",3,0.45638020833333337
216,10,"[0.13020833 0.06770833 0.17708333 0.05208333 0.203125   0.15625
 0.05208333 0.16145833]","[1, 0, 1, 0, 1, 1, 0, 1]",5,0.40983072916666663
217,10,"[0.234375   0.09895833 0.05208333 0.265625   0.16145833 0.109375
 0.05729167 0.02083333]","[1, 0, 0, 1, 1, 0, 0, 0]",3,0.43098958333333337
218,10,"[0.078125   0.140625   0.01041667 0.328125   0.16145833 0.16666667
 0.07291667 0.04166667]","[0, 1, 0, 1, 1, 1, 0, 0]",4,0.6393229166666667
219,10,"[0.046875   0.18229167 0.078125   0.328125   0.109375   0.15104167
 0.06770833 0.03645833]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.4130859375
220,10,"[0.046875   0.35416667 0.03645833 0.13020833 0.140625   0.18229167
 0.05208333 0.05729167]","[0, 1, 0, 1, 1, 1, 0, 0]",4,0.4319661458333333
221,10,"[0.15104167 0.17708333 0.09375    0.05729167 0.05729167 0.203125
 0.13020833 0.13020833]","[1, 1, 0, 0, 0, 1, 1, 1]",5,0.5533854166666666
222,10,"[0.08854167 0.08333333 0.19270833 0.07291667 0.140625   0.1875
 0.1875     0.046875  ]","[0, 0, 1, 0, 1, 1, 1, 0]",4,0.515625
223,10,"[0.06770833 0.03125    0.28125    0.15625    0.125      0.08854167
 0.23958333 0.01041667]","[0, 0, 1, 1, 0, 0, 1, 0]",3,0.5426432291666666
224,10,"[0.03125    0.125      0.22916667 0.234375   0.03645833 0.02083333
 0.296875   0.02604167]","[0, 0, 1, 1, 0, 0, 1, 0]",3,0.4130859375
225,10,"[0.08854167 0.27083333 0.19270833 0.125      0.04166667 0.140625
 0.09895833 0.04166667]","[0, 1, 1, 0, 0, 1, 0, 0]",3,0.388671875
226,10,"[0.046875   0.375      0.02604167 0.13541667 0.03125    0.234375
 0.02083333 0.13020833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.41992187500000006
227,10,"[0.16145833 0.09375    0.14583333 0.14583333 0.09895833 0.13020833
 0.09375    0.13020833]","[1, 0, 1, 1, 0, 1, 0, 1]",5,0.40690104166666663
228,10,"[0.25       0.11979167 0.078125   0.203125   0.04166667 0.10416667
 0.02604167 0.17708333]","[1, 0, 0, 1, 0, 0, 0, 1]",3,0.37076822916666663
229,10,"[0.046875   0.18229167 0.04166667 0.26041667 0.11458333 0.109375
 0.05729167 0.1875    ]","[0, 1, 0, 1, 0, 0, 0, 1]",3,0.3590494791666667
230,10,"[0.0625     0.19270833 0.05208333 0.05729167 0.296875   0.125
 0.125      0.08854167]","[0, 1, 0, 0, 1, 0, 0, 0]",2,0.4895833333333333
231,10,"[0.09375    0.140625   0.05729167 0.08333333 0.39583333 0.05208333
 0.16145833 0.015625  ]","[0, 1, 0, 0, 1, 0, 1, 0]",3,0.6328125
232,10,"[0.20833333 0.09895833 0.11458333 0.08854167 0.17708333 0.02083333
 0.19791667 0.09375   ]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.43815104166666663
233,10,"[0.20833333 0.05729167 0.20833333 0.07291667 0.171875   0.03645833
 0.19270833 0.05208333]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.3264973958333333
234,10,"[0.28645833 0.046875   0.30729167 0.04166667 0.078125   0.0625
 0.16666667 0.01041667]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.2942708333333333
235,10,"[0.34895833 0.03645833 0.20833333 0.02083333 0.20833333 0.03645833
 0.109375   0.03125   ]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.2581380208333333
