iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
225,10,"[0.0625     0.20833333 0.03645833 0.19791667 0.08854167 0.25520833
 0.03645833 0.11458333]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.2711588541666667
226,10,"[0.05208333 0.20833333 0.02083333 0.25       0.08854167 0.16666667
 0.03645833 0.17708333]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.21614583333333337
227,10,"[0.02604167 0.171875   0.04166667 0.27604167 0.03125    0.27083333
 0.015625   0.16666667]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.20930989583333337
228,10,"[0.03125    0.14583333 0.05208333 0.32291667 0.00520833 0.265625
 0.02604167 0.15104167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.27701822916666674
229,10,"[0.05208333 0.140625   0.05729167 0.22916667 0.04166667 0.29166667
 0.015625   0.171875  ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.23307291666666669
230,10,"[0.06770833 0.16145833 0.08854167 0.18229167 0.06770833 0.234375
 0.03125    0.16666667]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.24967447916666669
231,10,"[0.02083333 0.23958333 0.04166667 0.296875   0.06770833 0.19270833
 0.01041667 0.13020833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.26009114583333337
232,10,"[0.02604167 0.21875    0.03645833 0.16145833 0.02604167 0.203125
 0.01041667 0.31770833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.25390625
233,10,"[0.04166667 0.13020833 0.07291667 0.22916667 0.04166667 0.21354167
 0.078125   0.19270833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.22786458333333337
234,10,"[0.02604167 0.09375    0.04166667 0.21354167 0.04166667 0.171875
 0.05729167 0.35416667]","[0, 0, 0, 1, 0, 1, 0, 1]",3,0.2578125
235,10,"[0.01041667 0.06770833 0.08333333 0.16145833 0.08854167 0.15625
 0.13541667 0.296875  ]","[0, 0, 0, 1, 0, 1, 1, 1]",4,0.3525390625
236,10,"[0.046875   0.0625     0.04166667 0.16666667 0.09375    0.1875
 0.03645833 0.36458333]","[0, 0, 0, 1, 0, 1, 0, 1]",3,0.33072916666666663
237,10,"[0.08333333 0.24479167 0.05729167 0.18229167 0.07291667 0.18229167
 0.05729167 0.11979167]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.3365885416666667
238,10,"[0.07291667 0.234375   0.05208333 0.32291667 0.06770833 0.15104167
 0.046875   0.05208333]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.3212890625
239,10,"[0.02604167 0.21875    0.05729167 0.26041667 0.03125    0.19270833
 0.078125   0.13541667]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.24055989583333331
240,10,"[0.046875 0.203125 0.046875 0.234375 0.046875 0.25     0.0625   0.109375]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.3056640625
241,10,"[0.03125    0.26041667 0.05729167 0.19270833 0.02083333 0.24479167
 0.03125    0.16145833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.21614583333333331
242,10,"[0.03645833 0.18229167 0.01041667 0.15104167 0.03645833 0.40625
 0.02083333 0.15625   ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.3496093750000001
243,10,"[0.02604167 0.21354167 0.02083333 0.19270833 0.046875   0.21875
 0.04166667 0.23958333]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.21647135416666669
244,10,"[0.02604167 0.34375    0.02083333 0.18229167 0.03125    0.15625
 0.03125    0.20833333]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.28938802083333337
245,10,"[0.05208333 0.30208333 0.05208333 0.234375   0.02604167 0.14583333
 0.03645833 0.15104167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.35481770833333337
246,10,"[0.0625     0.26041667 0.0625     0.19791667 0.05729167 0.15625
 0.03125    0.171875  ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.23893229166666669
247,10,"[0.13020833 0.15104167 0.10416667 0.18229167 0.078125   0.14583333
 0.03125    0.17708333]","[1, 1, 0, 1, 0, 1, 0, 1]",5,0.4651692708333333
248,10,"[0.05208333 0.15625    0.07291667 0.15625    0.07291667 0.23958333
 0.015625   0.234375  ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.3372395833333333
249,10,"[0.046875   0.171875   0.01041667 0.22916667 0.04166667 0.22395833
 0.03645833 0.23958333]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.2109375
250,10,"[0.02083333 0.22395833 0.03125    0.27083333 0.02083333 0.19791667
 0.04166667 0.19270833]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.2379557291666667
